,group,variable,value,color,text,cnp,mobile_text
82,Centre-du-Québec,  7202 Entrepreneurs et contremaîtres en électricité et en télécommunications,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,7202,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les entrepreneurs et contremaîtres en électricité et en télécommunications.
83,Centre-du-Québec,  7245 Monteurs de lignes et de câbles de télécommunications,0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,7245,Les monteurs de lignes et de câbles de télécommunications n'ont pas été <br>l'objet d'un diagnostic dans la région.
84,Centre-du-Québec,  7246 Installateurs et réparateurs de matériel de télécommunications,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,7246,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les installateurs et réparateurs de matériel de télécommunications.
85,Centre-du-Québec,  7247 Techniciens en montage et en entretien d'installations de câblodistribution,0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,7247,Les techniciens en montage et en entretien d'installations de câblodistribution n'ont pas été <br>l'objet d'un diagnostic dans la région.
86,Centre-du-Québec,  9222 Surveillants dans la fabrication de matériel électronique,0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,9222,Les surveillants dans la fabrication de matériel électronique n'ont pas été <br>l'objet d'un diagnostic dans la région.
87,Centre-du-Québec,"  9523 Assembleurs, monteurs, contrôleurs et vérificateurs de matériel électronique",66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,9523,"Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les assembleurs, monteurs, contrôleurs et vérificateurs de matériel électronique."
88,Chaudière-Appalaches,  0131 Directeurs d'entreprises de télécommunications,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,131,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les directeurs d'entreprises de télécommunications.
89,Chaudière-Appalaches,  0213 Gestionnaires des systèmes informatiques,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,213,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les gestionnaires des systèmes informatiques.
90,Chaudière-Appalaches,  2133 Ingénieurs électriciens et électroniciens,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,2133,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les ingénieurs électriciens et électroniciens
91,Chaudière-Appalaches,  2147 Ingénieurs informaticiens (sauf ingénieurs et concepteurs en logiciel),66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,2147,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les ingénieurs informaticiens (sauf ingénieurs et concepteurs en logiciel).
92,Chaudière-Appalaches,  2171 Analystes et consultants en informatique,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,2171,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les analystes et consultants en informatique
93,Chaudière-Appalaches,  2172 Analystes de bases de données et administrateurs de données,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,2172,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les analystes de bases de données et administrateurs de données.
94,Chaudière-Appalaches,  2173 Ingénieurs et concepteurs en logiciel,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,2173,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les ingénieurs et concepteurs en logiciel
95,Chaudière-Appalaches,  2174 Programmeurs et développeurs en médias interactifs,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,2174,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les programmeurs et développeurs en médias interactifs
96,Chaudière-Appalaches,  2175 Concepteurs et développeurs Web,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,2175,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les concepteurs et développeurs web
97,Chaudière-Appalaches,  2241 Technologues et techniciens en génie électronique et électrique,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,2241,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les technologues et techniciens en génie électronique et électrique
98,Chaudière-Appalaches,  2281 Techniciens de réseau informatique,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,2281,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les techniciens de réseau informatique.
